state_acronym,scf_name,_TYPE_,_FREQ_,meanpop,scf_id,state_name,pop,scf_lat,scf_long,scf_elev,scf_persons_per_house,scf_income_per_house,N_zip3,FIPS,state_pop2000,state_lat,state_long,NCHS_id,city_id
MA,Cape Cod,3,1,270357.3306,55,Massachusetts,267179,41.65946311,-70.34127392,44.50691057,2.416333333,47630.00558,2,25,6349097,42.271831,-71.363628,22,43
IL,Carol Stream,3,1,1439489.163,58,Illinois,1377671,41.97033889,-88.19679274,699.2277778,2.779555556,64206.42969,2,17,12419293,41.278216,-88.380238,14,44
IA,Carroll,3,1,48192.3246,60,Iowa,49582,42.09457528,-95.06614288,1294.78125,2.6053125,34723.43333,1,19,2926324,41.960392,-93.049161,16,45
WY,Casper,3,1,84071.65524,61,Wyoming,80463,43.0081301,-106.5624398,5297.809524,2.620476191,38453,1,56,493782,42.675762,-107.008835,51,46
IA,Cedar Rapids,3,1,568372.004,62,Iowa,553762,42.06500856,-91.52375492,833.8834896,2.652602569,42595.62823,4,19,2926324,41.960392,-93.049161,16,47
IL,Centralia,3,1,216306.748,63,Illinois,219417,38.31300108,-88.66886904,467.4021739,2.513369565,32239.04706,1,17,12419293,41.278216,-88.380238,14,48
IL,Champaign,3,1,318125.1048,64,Illinois,381281,39.98278884,-88.14530647,684.3951613,2.644870968,40608.56035,2,17,12419293,41.278216,-88.380238,14,49
SC,Charleston,3,1,662611.8548,65,South Carolina,615136,32.9651581,-80.11232868,41.875,2.857638889,37217.28302,1,45,4012012,34.034551,-81.032387,41,50
WV,Charleston,3,1,283625.4839,66,West Virginia,325099,38.33607984,-81.56469293,917.3357508,2.583423077,28774.67227,4,54,1808344,38.767195,-80.820221,49,51
NC,Charlotte,3,2,2117442.5057,67,North Carolina,1896712,35.22897928,-80.88807814,704.2102929,2.666397723,42565.26972,4,37,8049313,35.553334,-79.667654,34,52
VA,Charlottesvil,3,1,523778.1552,68,Virginia,499004,38.19117508,-78.85554751,1294.84125,2.69213485,39550.7999,3,51,7078515,37.750345,-77.835857,47,53
TN,Chattanooga,3,2,1066744.8448,69,Tennessee,1014925,35.07003973,-85.25046868,935.2198595,2.650223499,32996.5,3,47,5689283,35.795862,-86.397772,43,54
WY,Cheyenne,3,1,116476.8165,70,Wyoming,111877,41.27676568,-105.1169943,6642.642857,2.572142857,31225.25,1,56,493782,42.675762,-107.008835,51,55
IL,Chicago,3,1,3094713.042,71,Illinois,3150324,41.86651221,-87.67273498,596,2.72,45949.49383,3,17,12419293,41.278216,-88.380238,14,56
MO,Chillicothe,3,1,73860.95766,73,Missouri,74860,39.86193058,-93.57047395,838.6181818,2.511454546,29389.24528,1,29,5595211,38.437715,-92.15377,26,57
OH,Chillicothe,3,1,344224.8206,74,Ohio,342988,38.93449233,-82.82039345,736.7826087,2.734782609,29867.96552,1,39,11353140,40.480854,-82.749366,36,58
OH,Cincinnati,3,3,2268504.1012,75,Ohio,2184370,39.12889114,-84.42336452,730.7699739,2.703994715,43185.53649,6,39,11353140,40.480854,-82.749366,36,59
WV,Clarksburg,3,1,383199.246,76,West Virginia,381102,39.2672478,-80.23432063,1446.15762,2.624565437,26907.07895,4,54,1808344,38.767195,-80.820221,49,60
OH,Cleveland,3,1,2118302.813,77,Ohio,2152888,41.49421259,-81.5675057,809.8478488,2.640384615,45686.57925,2,39,11353140,40.480854,-82.749366,36,61
OK,Clinton,3,1,55438.49597,78,Oklahoma,56516,35.50672318,-99.28803065,1847.029412,2.573823529,30496.84849,1,40,3450654,35.59794,-96.834653,37,62
CO,Colorado Spri,3,1,805888.9315,81,Colorado,757857,38.60432866,-104.3872641,5772.055162,2.654321345,38938.96951,3,8,4301261,39.500656,-105.203628,6,63
MO,Columbia,3,1,506837.7218,82,Missouri,542077,38.84041455,-92.49081952,759.3939802,2.665093667,36539.25425,4,29,5595211,38.437715,-92.15377,26,64
SC,Columbia,3,1,1044105.855,83,South Carolina,997159,33.95770482,-80.89367186,288.5876804,2.845397706,35691.70612,3,45,4012012,34.034551,-81.032387,41,65
TN,Columbia,3,1,174352.754,84,Tennessee,169104,35.30044051,-87.30535143,776.2,2.654571429,33126.60606,1,47,5689283,35.795862,-86.397772,43,66
GA,Columbus,3,1,259951.371,85,Georgia,263783,32.49639884,-84.88118222,496.6990741,2.816296296,34190.25397,2,13,8186453,33.332208,-83.868887,11,67
IN,Columbus,3,1,202205.4355,86,Indiana,197632,39.06749018,-85.74957345,729.2631579,2.733157895,39454.67742,1,18,6080485,40.163935,-86.261515,15,68
MS,Columbus,3,1,169670.75,87,Mississippi,171164,33.53642809,-88.83770817,313.0285714,2.801714286,27973.89286,1,28,2844658,32.56642,-89.593164,25,69
OH,Columbus,3,1,1997877.292,88,Ohio,1904952,40.04446492,-82.9817578,925.1347727,2.713000325,42527.37885,4,39,11353140,40.480854,-82.749366,36,70
TX,Conroe,3,1,878210.752,89,Texas,729178,30.34242382,-95.3409184,191.8630137,2.877808219,45820.5,1,48,20851820,30.943149,-97.388631,44,71
TN,Cookeville,3,1,217461.6411,90,Tennessee,204543,36.19203196,-85.41539686,1181.061225,2.61244898,29933,1,47,5689283,35.795862,-86.397772,43,72
TX,Corpus Christ,3,1,504801.9657,91,Texas,513952,27.74582009,-97.61137078,105.5281385,2.993367347,30778.08613,2,48,20851820,30.943149,-97.388631,44,73
VA,Culpeper,3,1,72637.85081,93,Virginia,62867,38.47640971,-78.06201921,559.4736842,2.869473684,46629.91177,1,51,7078515,37.750345,-77.835857,47,74
